show_id,platform,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s2200,hulu,TV Show,Counting On,,,United States,"May 15, 2019",2015,TV-PG,2 Seasons,"Documentaries, Reality",Jill and Jessa: Counting On follows the lives Jill Dillard and Jessa Seewald as they navigate adulthood and the changes that come with it.
s2201,hulu,TV Show,Diesel Brothers,,,United States,"May 15, 2019",2016,TV-14,2 Seasons,"Lifestyle & Culture, Reality, Sports","The characters behind DieselSellerZ.com do not run your cookie cutter truck business. While they buy, sell, build and destroy all things diesel, their exploits don't end there."
s2202,hulu,TV Show,Entre Nos,,,,"May 15, 2019",2017,TV-MA,1 Season,"Comedy, Latino, Stand Up",The world's top Latino comedians come together in this fast paced stand-up comedy show.
s2203,hulu,TV Show,Good Bones,,,,"May 15, 2019",2016,TV-G,2 Seasons,"Lifestyle & Culture, Reality","Karen and Mina, a mother/daughter duo, transform properties around their hometown of Indianapolis."
s2205,hulu,TV Show,Professional Fighters League,,,,"May 10, 2019",2017,TV-14,1 Season,Sports,Action from the Professional Fighters League.
s2206,hulu,TV Show,Wise Man's Grandchild,,,Japan,"May 10, 2019",2019,TV-14,1 Season,"Action, Adventure, Anime","A young man dies in a car accident and is reborn in a magical new world. The old, yet wise Merlin raises the boy and teaches him all that he'd ever need to know about magic and survival – all, except common sense!"
s2207,hulu,TV Show,RobiHachi,,,Japan,"May 8, 2019",2019,TV-14,1 Season,"Action, Adventure, Anime","Down-on-his-luck Robby is about to go from deep trouble to deep space! When Hatchi is sent to collect Robby's debts, he decides to run away to planet Isekandar. Only to find Hatchi stowed away on his ship! Now this odd couple will make the trek together."
s2208,hulu,TV Show,Afterlost,,,Japan,"May 7, 2019",2019,TV-14,1 Season,"Action, Adventure, Anime","The entire population of a city disappeared – vanished without a trace. Yuki, the sole survivor, joins Takuya, a contract courier, on a perilous journey to find answers within the newly named ghost town ""Lost""."
s2209,hulu,TV Show,Fairy gone,,,Japan,"May 7, 2019",2019,TV-14,1 Season,"Action, Adventure, Anime","Able to summon fairies as alter-ego weapons, former soldiers become government dogs, mafia members, and even terrorists in search of purpose beyond the battlefield. Who will maintain the peace they all fought for nine years ago?"
s2210,hulu,TV Show,MIX,,,Japan,"May 6, 2019",2019,TV-14,1 Season,"Action, Adventure, Anime","A new generation steps up to the plate in a moving sequel to the 1985 baseball manga, Touch. Stepbrothers Touma and Suichirou are ace baseball players, and they may be Meisei High School's best hope of returning to nationals."
s2211,hulu,TV Show,Drunk History,,,United States,"May 4, 2019",2013,TV-14,6 Seasons,"Comedy, History",History is written by the victors but told best by the totally wasted – on this wildly inappropriate (and maybe just a little inaccurate) series where well-lubricated comics tell famous American tales and celebrity guests act them out.
s2215,hulu,TV Show,Voltron: Defender of the Universe,,,,"April 26, 2019",1984,TV-Y7,3 Seasons,"Anime, Family, Kids","Voltron: Defender of the Universe is the futuristic tale of a time when the universal forces of good have consolidated into the Galaxy Alliance. Its mission: to explore the universe to help those in trouble and to fight the dark forces of evil. The Galaxy Alliance send five determined explorers to search for the secret of Voltron on the planet Arus. Thus ensues the exciting adventures; five fierce lion-robots combine into one great robot-warrior, Voltron."
s2219,hulu,TV Show,I Am the Night,,,United States,"April 18, 2019",2019,TV-MA,1 Season,"Drama, Mystery","Fauna Hodel, who was given away by her teenage birth mother, begins to investigate the secrets to her past, following a sinister trail that swirls ever closer to an infamous Hollywood gynecologist connected to the legendary Black Dahlia murder."
